Time_interval,Subject,Problem_ID,Session,No_moves_in,No_moves_out
15.0,282.0,7.0,2.0,NaN,NaN
30.0,282.0,7.0,2.0,NaN,NaN
45.0,282.0,7.0,2.0,NaN,NaN
60.0,282.0,7.0,2.0,NaN,NaN
75.0,282.0,7.0,2.0,NaN,NaN
90.0,282.0,7.0,2.0,NaN,NaN
105.0,282.0,7.0,2.0,NaN,NaN
120.0,282.0,7.0,2.0,NaN,NaN
135.0,282.0,7.0,2.0,NaN,NaN
150.0,282.0,7.0,2.0,NaN,NaN
165.0,282.0,7.0,2.0,NaN,NaN
180.0,282.0,7.0,2.0,NaN,NaN
195.0,282.0,7.0,2.0,NaN,NaN
210.0,282.0,7.0,2.0,NaN,NaN
225.0,282.0,7.0,2.0,NaN,NaN
240.0,282.0,7.0,2.0,NaN,NaN
255.0,282.0,7.0,2.0,NaN,NaN
270.0,282.0,7.0,2.0,NaN,NaN
285.0,282.0,7.0,2.0,NaN,NaN
300.0,282.0,7.0,2.0,NaN,NaN
315.0,282.0,7.0,2.0,NaN,NaN
330.0,282.0,7.0,2.0,NaN,NaN
345.0,282.0,7.0,2.0,NaN,NaN
360.0,282.0,7.0,2.0,NaN,NaN
375.0,282.0,7.0,2.0,NaN,NaN
390.0,282.0,7.0,2.0,NaN,NaN
405.0,282.0,7.0,2.0,NaN,NaN
420.0,282.0,7.0,2.0,NaN,NaN
435.0,282.0,7.0,2.0,NaN,NaN
450.0,282.0,7.0,2.0,NaN,NaN
465.0,282.0,7.0,2.0,NaN,NaN
480.0,282.0,7.0,2.0,NaN,NaN
495.0,282.0,7.0,2.0,NaN,NaN
510.0,282.0,7.0,2.0,NaN,NaN
525.0,282.0,7.0,2.0,NaN,NaN
540.0,282.0,7.0,2.0,NaN,NaN
555.0,282.0,7.0,2.0,NaN,NaN
570.0,282.0,7.0,2.0,NaN,NaN
585.0,282.0,7.0,2.0,NaN,NaN
600.0,282.0,7.0,2.0,NaN,NaN
615.0,282.0,7.0,2.0,NaN,NaN
630.0,282.0,7.0,2.0,NaN,NaN
645.0,282.0,7.0,2.0,NaN,NaN
660.0,282.0,7.0,2.0,NaN,NaN
675.0,282.0,7.0,2.0,NaN,NaN
690.0,282.0,7.0,2.0,NaN,NaN
705.0,282.0,7.0,2.0,NaN,NaN
15.0,269.0,7.0,2.0,0.0,0.0
30.0,269.0,7.0,2.0,1.0,0.0
45.0,269.0,7.0,2.0,0.0,0.0
60.0,269.0,7.0,2.0,0.0,0.0
75.0,269.0,7.0,2.0,2.0,1.0
90.0,269.0,7.0,2.0,1.0,0.0
105.0,269.0,7.0,2.0,1.0,0.0
120.0,269.0,7.0,2.0,4.0,0.0
135.0,269.0,7.0,2.0,0.0,0.0
150.0,269.0,7.0,2.0,0.0,0.0
165.0,269.0,7.0,2.0,0.0,0.0
180.0,269.0,7.0,2.0,0.0,0.0
