"submitted_item_move_id","submitted_item_id","move_type","in_knapsack","pos_x","pos_y","time_into_problem"
"242605","57929","1","0","515.369","369.951","5.9306"
"242606","57929","3","0","744.369","219.951","6.53046"
"242609","57929","1","0","744.369","219.951","8.28003"
"242610","57929","3","0","652.369","356.951","9.27979"
"242633","57929","1","0","652.369","356.951","37.1009"
"242634","57929","3","1","233.369","313.951","39.2344"
"242621","57930","1","0","518.401","175.121","15.6762"
"242622","57930","3","0","533.401","87.1213","16.0261"
"242623","57930","1","0","533.401","87.1213","16.376"
"242624","57930","3","0","516.401","133.121","17.1259"
"242635","57930","1","0","516.401","133.121","40.4701"
"242636","57930","3","0","519.401","117.121","41.7858"
"242617","57931","1","0","519.045","83.3891","13.7607"
"242618","57931","3","0","629.045","233.389","14.3445"
"242615","57932","1","0","637.033","150.136","12.611"
"242616","57932","3","0","509.033","240.136","13.3948"
"242601","57933","1","0","703.403","161.935","1.68164"
"242602","57933","3","0","653.403","364.935","3.83112"
"242607","57933","1","0","653.403","364.935","6.91437"
"242608","57933","3","0","509.402","356.935","7.83014"
"242631","57933","1","0","509.402","356.935","22.9904"
"242632","57933","3","1","85.4025","305.935","24.3901"
"242613","57934","1","0","512.698","186.716","11.8112"
"242614","57934","3","0","813.698","149.716","12.2111"
"242619","57934","1","0","813.698","149.716","14.7764"
"242620","57934","3","0","754.698","236.716","15.3103"
"242611","57935","1","0","540.88","147.715","9.74567"
"242612","57935","3","0","785.88","361.715","11.2613"
"242603","57936","1","0","779.411","370.119","4.61493"
"242604","57936","3","0","844.411","117.119","5.51471"
"242629","57936","1","0","844.411","117.119","20.4251"
"242630","57936","3","0","791.411","152.119","20.9909"
"242625","57937","1","0","753.714","80.1295","17.6097"
"242626","57937","3","0","620.714","141.13","18.4255"
"242637","57937","1","0","620.714","141.13","42.5656"
"242638","57937","3","1","369.714","324.129","47.0145"
"242627","57938","1","0","850.447","225.613","18.9914"
"242628","57938","3","0","712.447","140.613","19.9592"
"242665","57939","1","0","649.17","379.001","24.2581"
"242666","57939","2","1","177.17","321.001","24.5081"
"242667","57939","3","0","499.017","245.202","24.874"
"242668","57939","1","0","499.017","245.202","25.5078"
"242669","57939","3","0","656.016","321.202","25.7758"
"242674","57939","1","0","656.016","321.202","31.1564"
"242675","57939","3","0","789.016","399.202","31.3744"
"242644","57940","1","0","693.763","435.028","5.31671"
"242645","57940","3","0","780.763","435.028","5.53265"
"242663","57940","1","0","780.763","435.028","21.7587"
"242664","57940","3","1","148.763","244.028","22.0926"
"242670","57940","1","1","148.763","244.028","27.2234"
"242671","57940","3","1","98.7629","178.028","27.4414"
"242672","57941","1","0","516.714","403.46","28.3071"
"242673","57941","3","1","246.714","312.46","28.5911"
"242691","57941","1","1","246.714","312.46","48.6821"
"242692","57941","3","1","263.715","276.46","48.8481"
"242693","57941","1","1","263.715","276.46","49.6479"
"242694","57941","2","0","465.715","348.46","49.8478"
"242695","57941","3","0","494.14","330.199","49.8978"
"242696","57941","1","0","494.14","330.199","52.0973"
"242697","57941","3","0","545.14","381.199","52.2653"
"242702","57941","1","0","545.14","381.199","55.6964"
"242703","57941","3","1","311.14","264.199","55.9963"
"242646","57942","1","0","676.052","243.567","5.96454"
"242647","57942","3","0","746.052","192.567","6.13251"
"242656","57942","1","0","746.052","192.567","11.1633"
"242657","57942","3","0","804.052","60.567","11.4132"
"242639","57943","1","0","735.324","518.692","2.56738"
"242640","57943","2","0","864.324","261.692","2.89929"
"242641","57943","3","0","799.067","244.586","3.01727"
"242660","57944","1","0","608.494","155.941","19.8091"
"242661","57944","2","1","-13.5063","323.941","20.0772"
"242662","57944","3","1","33.8033","301.906","20.1591"
"242652","57945","1","0","535.524","288.844","9.57965"
"242653","57945","3","0","515.524","226.844","9.7796"
"242654","57945","1","0","515.524","226.844","10.3975"
"242655","57945","3","0","521.524","275.844","10.6134"
"242698","57945","1","0","521.524","275.844","52.7631"
"242699","57945","3","1","321.524","269.844","52.9811"
"242700","57945","1","1","321.524","269.844","54.9306"
"242701","57945","3","0","603.524","280.844","55.2305"
"242650","57946","1","0","563.667","291.323","7.94806"
"242651","57946","3","0","674.667","310.323","8.29797"
"242679","57946","1","0","674.667","310.323","33.9877"
"242680","57946","2","1","379.667","136.323","34.4716"
"242681","57946","3","0","494.097","176.347","34.6216"
"242682","57946","1","0","494.097","176.347","35.4214"
"242683","57946","2","1","305.097","173.347","35.6713"
"242684","57946","3","0","501.065","209.689","35.9033"
"242685","57946","1","0","501.065","209.689","36.853"
"242686","57946","3","0","630.065","193.689","37.2529"
"242642","57947","1","0","568.844","274.628","4.28296"
"242643","57947","3","0","532.844","106.628","4.5329"
"242658","57947","1","0","532.844","106.628","18.3775"
"242659","57947","3","1","100.844","403.628","18.8774"
"242689","57947","1","1","100.844","403.628","41.6199"
"242690","57947","3","1","217.844","403.628","42.0178"
"242648","57948","1","0","685.388","120.818","6.68237"
"242649","57948","3","0","732.388","36.8179","6.86432"
"242676","57948","1","0","732.388","36.8179","32.5381"
"242677","57948","2","1","246.389","215.818","32.804"
"242678","57948","3","0","501.687","229.846","33.088"
"242687","57948","1","0","501.687","229.846","40.3362"
"242688","57948","3","0","506.687","163.846","40.5181"
"242714","57949","1","0","652.032","196.115","13.0628"
"242715","57949","3","0","608.032","218.115","14.5444"
"242736","57949","1","0","608.032","218.115","50.8815"
"242737","57949","3","0","616.032","205.115","52.7131"
"242740","57949","1","0","616.032","205.115","54.3967"
"242741","57949","3","0","646.032","156.115","55.4284"
"242718","57950","1","0","710.12","254.71","16.5779"
"242719","57950","3","0","761.12","217.71","16.8939"
"242728","57950","1","0","761.12","217.71","38.2526"
"242729","57950","3","0","831.12","216.71","39.4843"
"242724","57951","1","0","578.516","411.778","22.1086"
"242725","57951","3","1","214.516","268.778","22.5905"
"242704","57952","1","0","667.519","381.597","3.86706"
"242705","57952","3","0","829.519","424.597","5.7486"
"242726","57952","1","0","829.519","424.597","30.7385"
"242727","57952","3","1","316.519","79.5971","32.822"
"242734","57952","1","1","316.519","79.5971","49.6978"
"242735","57952","3","0","520.519","346.597","50.6136"
"242706","57953","1","0","686.55","288.457","6.26446"
"242707","57953","3","0","707.55","331.457","7.64813"
"242720","57953","1","0","707.55","331.457","17.2438"
"242721","57953","3","0","774.55","294.457","18.9254"
"242732","57953","1","0","774.55","294.457","46.2646"
"242733","57953","3","0","732.55","330.457","48.0982"
"242738","57953","1","0","732.55","330.457","52.963"
"242739","57953","3","0","717.55","310.457","54.1807"
"242742","57953","1","0","717.55","310.457","55.6783"
"242743","57953","3","1","241.55","108.457","60.5951"
"242744","57953","1","1","241.55","108.457","61.6589"
"242745","57953","3","0","681.55","362.457","62.2767"
"242748","57953","1","0","681.55","362.457","64.3082"
"242749","57953","3","0","648.55","325.457","65.224"
"242762","57953","1","0","648.55","325.457","74.1378"
"242763","57953","3","1","316.55","146.457","74.6037"
"242722","57954","1","0","660.287","93.4994","21.1248"
"242723","57954","3","1","270.287","380.499","21.7407"
"242716","57955","1","0","769.168","103.622","15.1443"
"242717","57955","3","0","743.168","47.6222","15.9781"
"242708","57956","1","0","613.029","225.874","8.23199"
"242709","57956","3","0","597.029","228.874","8.51392"
"242712","57956","1","0","597.029","228.874","12.4949"
"242713","57956","3","0","554.029","247.874","12.7949"
"242754","57956","1","0","554.029","247.874","68.2573"
"242755","57956","3","1","336.029","283.874","68.7731"
"242756","57956","1","1","336.029","283.874","69.8229"
"242757","57956","3","0","518.029","278.874","70.5567"
"242710","57957","1","0","566.315","44.3625","10.1295"
"242711","57957","3","0","554.315","98.3625","10.6974"
"242730","57957","1","0","554.315","98.3625","40.852"
"242731","57957","3","0","526.315","149.363","45.4329"
"242752","57957","1","0","526.315","149.363","66.9916"
"242753","57957","3","1","379.315","206.363","67.4734"
"242758","57957","1","1","379.315","206.363","71.6404"
"242759","57957","3","0","531.315","202.363","72.0563"
"242746","57958","1","0","846.733","137.485","62.9426"
"242747","57958","3","0","813.733","147.485","64.0103"
"242750","57958","1","0","813.733","147.485","65.8578"
"242751","57958","3","1","386.733","120.485","66.5077"
"242760","57958","1","1","386.733","120.485","73.488"
"242761","57958","3","0","515.733","102.485","73.7219"
"242766","57959","1","0","666.498","397.116","1.89954"
"242767","57959","3","0","750.498","356.116","2.16547"
"242821","57959","1","0","750.498","356.116","54.2446"
"242822","57959","3","0","750.498","283.116","55.3283"
"242840","57959","1","0","750.498","283.116","66.5576"
"242841","57959","3","0","758.498","347.116","66.7735"
"242776","57960","1","0","564.314","162.84","6.24646"
"242777","57960","3","0","505.314","181.84","6.73035"
"242851","57960","1","0","505.314","181.84","71.7223"
"242852","57960","3","1","338.314","142.84","72.0722"
"242770","57961","1","0","742.912","130.031","3.16522"
"242771","57961","3","0","778.912","103.031","3.38117"
"242788","57961","1","0","778.912","103.031","22.6743"
"242789","57961","3","1","264.912","206.031","23.4901"
"242790","57961","1","1","264.912","206.031","25.6896"
"242791","57961","3","1","300.912","227.031","26.4734"
"242794","57961","1","1","300.912","227.031","30.3884"
"242795","57961","3","0","816.912","94.0305","31.2202"
"242798","57961","1","0","816.912","94.0305","37.7006"
"242799","57961","3","1","109.912","188.031","38.7184"
"242764","57962","1","0","675.796","420.528","1.16571"
"242765","57962","3","0","531.796","366.528","1.53162"
"242782","57962","1","0","531.796","366.528","15.994"
"242783","57962","3","1","309.796","360.528","17.8095"
"242768","57963","1","0","638.386","169.791","2.54736"
"242769","57963","3","0","670.386","216.791","2.78131"
"242792","57963","1","0","670.386","216.791","27.4891"
"242793","57963","3","0","680.386","178.791","27.855"
"242819","57963","1","0","680.386","178.791","52.445"
"242820","57963","3","0","688.386","175.791","53.8627"
"242835","57963","1","0","688.386","175.791","64.5081"
"242836","57963","2","1","294.386","136.791","64.89"
"242837","57963","3","0","494.21","175.41","65.1579"
"242838","57963","1","0","494.21","175.41","65.7237"
"242839","57963","3","0","656.21","188.41","66.2576"
"242842","57963","1","0","656.21","188.41","67.0734"
"242843","57963","3","0","723.21","188.41","67.2734"
"242772","57964","1","0","815.53","205.743","3.69708"
"242773","57964","3","0","832.53","251.743","3.93103"
"242796","57964","1","0","832.53","251.743","36.035"
"242797","57964","3","1","304.53","227.743","37.1847"
"242825","57964","1","1","304.53","227.743","58.4435"
"242826","57964","3","0","579.53","433.743","59.2593"
"242827","57964","1","0","579.53","433.743","60.0252"
"242828","57964","3","0","574.53","419.743","60.3751"
"242846","57964","1","0","574.53","419.743","69.7548"
"242847","57964","2","1","206.53","356.743","70.1567"
"242848","57964","3","0","494.551","274.885","70.4726"
"242849","57964","1","0","494.551","274.885","70.9725"
"242850","57964","3","0","533.551","389.885","71.2224"
"242778","57965","1","0","567.599","75.9402","7.14624"
"242779","57965","3","0","589.599","78.9402","7.44617"
"242823","57965","1","0","589.599","78.9402","55.7942"
"242824","57965","3","0","624.599","59.9403","56.8759"
"242853","57965","1","0","624.599","59.9403","73.1199"
"242854","57965","3","0","580.599","94.9402","74.2377"
"242800","57966","1","0","649.05","319.846","39.8501"
"242801","57966","3","1","158.05","326.846","40.45"
"242808","57966","1","1","158.05","326.846","44.183"
"242809","57966","3","0","618.05","348.846","44.5149"
"242831","57966","1","0","618.05","348.846","61.4588"
"242832","57966","3","0","631.05","340.846","61.6747"
"242774","57967","1","0","775.43","207.39","4.29694"
"242775","57967","3","0","533.43","272.39","5.89654"
"242784","57967","1","0","533.43","272.39","18.5593"
"242785","57967","3","0","543.43","318.39","18.9092"
"242805","57967","1","0","543.43","318.39","43.1153"
"242806","57967","2","1","218.43","137.39","43.5992"
"242807","57967","3","0","496.424","196.246","43.8991"
"242810","57967","1","0","496.424","196.246","44.9988"
"242811","57967","2","0","491.424","342.246","45.2148"
"242812","57967","3","0","500.455","337.099","45.2308"
"242817","57967","1","0","500.455","337.099","47.8301"
"242818","57967","3","0","524.455","352.099","49.4637"
"242829","57967","1","0","524.455","352.099","60.9749"
"242830","57967","3","0","521.455","351.099","61.0929"
"242844","57967","1","0","521.455","351.099","67.9892"
"242845","57967","3","1","364.455","282.099","68.2231"
"242780","57968","1","0","665.418","24.7183","7.96204"
"242781","57968","3","0","689.418","37.7183","8.17999"
"242786","57968","1","0","689.418","37.7183","21.8405"
"242787","57968","3","0","704.418","39.7183","21.9425"
"242802","57968","1","0","704.418","39.7183","41.8336"
"242803","57968","2","1","232.418","163.718","42.2335"
"242804","57968","3","0","494.662","207.908","42.5154"
"242813","57968","1","0","494.662","207.908","45.6147"
"242814","57968","3","1","312.662","140.908","45.8806"
"242815","57968","1","1","312.662","140.908","46.3145"
"242816","57968","3","0","598.662","267.908","46.9144"
"242833","57968","1","0","598.662","267.908","61.9427"
"242834","57968","3","0","546.662","254.908","63.0404"
"242859","57969","1","0","294.15","15.6769","3.46314"
"242860","57969","3","0","124.15","296.677","4.09698"
"242867","57969","1","0","124.15","296.677","8.17993"
"242868","57969","3","0","81.1501","301.677","8.64581"
"242875","57970","1","0","354.031","404.17","16.3919"
"242876","57970","3","1","802.031","351.17","18.6274"
"242857","57971","1","0","303.825","352.422","2.64734"
"242858","57971","3","0","77.8249","429.422","2.96527"
"242863","57972","1","0","286.17","138.098","5.61456"
"242864","57972","3","0","310.17","85.0981","6.11243"
"242871","57972","1","0","310.17","85.0981","12.6108"
"242872","57972","3","0","337.17","84.0981","13.7606"
"242855","57973","1","0","191.355","214.836","1.34766"
"242856","57973","3","1","504.355","341.836","2.19745"
"242873","57974","1","0","202.921","59.1795","14.0265"
"242874","57974","3","0","203.921","46.1795","15.0602"
"242869","57975","1","0","334.755","274.007","10.4114"
"242870","57975","3","1","657.755","352.007","11.5111"
"242861","57976","1","0","273.379","193.145","4.84674"
"242862","57976","3","0","147.379","228.145","5.21265"
"242865","57977","1","0","324.284","207.257","6.63031"
"242866","57977","3","0","256.284","202.257","7.26215"
"242881","57979","1","0","555.408","157.911","2.8493"
"242882","57979","3","1","55.4077","321.911","3.53314"
"242877","57980","1","0","625.122","124.575","0.999756"
"242878","57980","3","0","670.122","71.5753","1.24969"
"242887","57981","1","0","756.136","404.241","9.56366"
"242888","57981","3","0","778.136","372.241","10.7474"
"242885","57982","1","0","523.675","347.351","7.86408"
"242886","57982","3","0","499.676","335.351","8.9798"
"242879","57983","1","0","727.992","277.895","1.73358"
"242880","57983","3","0","624.992","342.895","2.53339"
"242889","57984","1","0","818.875","271.432","11.0953"
"242890","57984","3","1","331.875","326.432","16.144"
"242883","57985","1","0","747.565","149.836","4.065"
"242884","57985","3","1","198.565","322.836","6.31445"
"242898","57989","1","0","563.834","243.019","4.98077"
"242899","57989","3","0","508.835","190.019","5.88055"
"242926","57989","1","0","508.835","190.019","53.213"
"242927","57989","2","0","820.834","392.019","54.3287"
