"submitted_problem_id","participant_id","problem_id","time_started","seconds_on_problem","completed","interventions_available","interventions_used"
"6294","270","1","2018-08-31 10:19:44","41.5678","1","0","0"
"6295","261","1","2018-08-31 10:19:46","45.001","1","0","0"
"6296","261","1","2018-08-31 10:20:33","10.4634","1","0","0"
"6297","272","1","2018-08-31 10:19:43","68.7571","1","0","0"
"6298","261","1","2018-08-31 10:20:45","17.2917","1","0","0"
"6299","261","1","2018-08-31 10:21:04","10.5615","1","0","0"
"6300","261","1","2018-08-31 10:21:15","0.749817","1","0","0"
"6301","272","1","2018-08-31 10:20:54","41.9818","1","0","0"
"6302","270","1","2018-08-31 10:20:29","69.8229","1","0","0"
"6303","259","1","2018-08-31 10:19:44","185.193","1","0","0"
"6304","270","1","2018-08-31 10:21:40","69.8549","1","0","0"
"6305","272","1","2018-08-31 10:21:38","94.0289","1","0","0"
"6306","268","1","2018-08-31 10:19:44","295.654","1","0","0"
"6307","272","1","2018-08-31 10:23:23","93.8471","1","0","0"
"6308","270","1","2018-08-31 10:22:51","131.848","1","0","0"
"6309","272","1","2018-08-31 10:24:58","26.6235","1","0","0"
"6310","259","1","2018-08-31 10:22:51","277.958","1","0","0"
"6311","266","1","2018-08-31 10:19:43","484.412","1","0","0"
"6312","261","1","2018-08-31 10:22:46","316.41","1","0","0"
"6313","261","1","2018-08-31 10:28:03","21.0588","1","0","0"
"6314","268","1","2018-08-31 10:27:05","89.582","1","0","0"
"6315","261","1","2018-08-31 10:28:25","79.2526","1","0","0"
"6316","269","1","2018-08-31 10:19:44","601.168","1","0","0"
"6317","270","1","2018-08-31 10:25:09","276.742","1","0","0"
"6318","261","1","2018-08-31 10:29:45","1.24969","1","0","0"
"6319","271","1","2018-08-31 10:19:43","603.334","1","0","0"
"6320","261","1","2018-08-31 10:29:48","0.883789","1","0","0"
"6321","263","1","2018-08-31 10:19:44","605.966","1","0","0"
"6322","265","1","2018-08-31 10:19:44","607.733","1","0","0"
"6323","267","1","2018-08-31 10:19:44","610.599","1","0","0"
"6324","264","1","2018-08-31 10:19:44","615.097","1","0","0"
"6325","262","1","2018-08-31 10:19:46","614.397","1","0","0"
"6326","259","1","2018-08-31 10:27:30","156.922","1","0","0"
"6327","260","1","2018-08-31 10:19:44","625.692","1","0","0"
"6328","265","1","2018-08-31 10:31:11","7.74615","1","0","0"
"6329","272","2","2018-08-31 10:32:52","45.5329","1","0","0"
"6330","267","2","2018-08-31 10:32:51","59.9255","1","0","0"
"6331","270","2","2018-08-31 10:32:51","84.0674","1","0","0"
"6332","270","2","2018-08-31 10:34:28","27.9051","1","0","0"
"6333","259","2","2018-08-31 10:32:52","133.464","1","0","0"
"6334","272","2","2018-08-31 10:33:50","108.889","1","0","0"
"6335","259","2","2018-08-31 10:35:07","32.7201","1","0","0"
"6336","270","2","2018-08-31 10:34:57","68.8731","1","0","0"
"6337","261","2","2018-08-31 10:32:16","242.273","1","0","0"
"6338","270","2","2018-08-31 10:36:09","32.454","1","0","0"
"6339","261","2","2018-08-31 10:36:19","57.6779","1","0","0"
"6340","270","2","2018-08-31 10:36:42","48.3481","1","0","0"
"6341","268","2","2018-08-31 10:32:53","295.57","1","0","0"
"6342","272","2","2018-08-31 10:35:40","144.395","1","0","0"
"6343","272","2","2018-08-31 10:38:06","21.7247","1","0","0"
"6344","259","2","2018-08-31 10:35:41","185.714","1","0","0"
"6345","272","2","2018-08-31 10:38:30","26.4055","1","0","0"
"6346","261","2","2018-08-31 10:37:18","121.77","1","0","0"
"6347","258","2","2018-08-31 10:32:20","443.527","1","0","0"
"6348","270","2","2018-08-31 10:38:26","85.733","1","0","0"
"6349","268","2","2018-08-31 10:38:09","107.142","1","0","0"
"6350","266","2","2018-08-31 10:32:51","429.768","1","0","0"
"6351","258","2","2018-08-31 10:39:45","38.1866","1","0","0"
"6352","270","2","2018-08-31 10:39:53","46.9805","1","0","0"
"6353","270","2","2018-08-31 10:40:41","60.2932","1","0","0"
"6354","266","2","2018-08-31 10:40:04","119.687","1","0","0"
"6355","270","2","2018-08-31 10:41:42","33.2379","1","0","0"
"6356","270","2","2018-08-31 10:42:16","24.524","1","0","0"
"6357","264","2","2018-08-31 10:32:52","600.92","1","0","0"
"6358","262","2","2018-08-31 10:32:52","601.268","1","0","0"
