"submitted_item_move_id","submitted_item_id","move_type","in_knapsack","pos_x","pos_y","time_into_problem"
"195801","45713","1","0","565.4","324.63","16.326"
"195802","45713","3","1","152.4","258.63","16.9939"
"195808","45713","1","1","152.4","258.63","22.0907"
"195809","45713","3","0","593.4","279.63","22.6586"
"195810","45713","1","0","593.4","279.63","24.6241"
"195811","45713","3","0","606.4","275.63","26.4556"
"195812","45713","1","0","606.4","275.63","28.4391"
"195813","45713","3","1","209.4","295.63","28.889"
"195824","45713","1","1","209.4","295.63","41.9499"
"195825","45713","3","1","70.4","307.63","42.9496"
"195820","45714","1","0","688.426","167.388","37.2351"
"195821","45714","3","0","675.426","153.388","37.9189"
"195830","45714","1","0","675.426","153.388","54.3289"
"195831","45714","3","1","86.4264","192.388","55.0787"
"195861","45714","1","1","86.4264","192.388","108.642"
"195862","45714","3","0","627.426","104.388","109.325"
"195867","45714","1","0","627.426","104.388","113.122"
"195868","45714","3","0","555.426","212.388","113.822"
"195857","45715","1","0","814.254","101.894","97.9122"
"195858","45715","3","1","187.254","160.894","99.2618"
"195832","45716","1","0","761.451","76.3223","55.9944"
"195833","45716","3","0","727.451","78.3223","58.9097"
"195853","45716","1","0","727.451","78.3223","92.0636"
"195854","45716","3","0","566.451","183.322","95.1289"
"195863","45716","1","0","566.451","183.322","109.757"
"195864","45716","3","1","116.451","186.322","110.257"
"195834","45717","1","0","584.008","88.5603","59.3776"
"195835","45717","3","1","190.008","132.56","61.4591"
"195838","45717","1","1","190.008","132.56","72.3224"
"195839","45717","3","1","185.008","191.56","74.24"
"195847","45717","1","1","185.008","191.56","87.8167"
"195848","45717","3","0","578.008","144.56","88.2166"
"195851","45717","1","0","578.008","144.56","90.482"
"195852","45717","3","0","621.008","126.56","91.4818"
"195822","45718","1","0","660.663","464.21","38.6687"
"195823","45718","3","0","522.663","308.21","39.7844"
"195865","45718","1","0","522.663","308.21","111.023"
"195866","45718","3","1","114.663","103.21","111.957"
"195803","45719","1","0","617.971","159.557","18.4255"
"195804","45719","3","1","209.971","147.557","18.8755"
"195805","45719","1","1","209.971","147.557","20.725"
"195806","45719","2","0","465.971","158.557","20.975"
"195807","45719","3","0","494.508","167.532","21.025"
"195814","45719","1","0","494.508","167.532","29.5709"
"195815","45719","3","1","346.508","302.532","30.6546"
"195826","45719","1","1","346.508","302.532","43.8494"
"195827","45719","3","1","211.508","324.532","44.5153"
"195842","45719","1","1","211.508","324.532","84.5994"
"195843","45719","3","0","658.508","247.532","85.0833"
"195836","45720","1","0","671.653","258.06","67.2897"
"195837","45720","3","0","581.653","83.0605","70.3569"
"195859","45720","1","0","581.653","83.0605","100.527"
"195860","45720","3","0","554.653","115.061","101.977"
"195869","45720","1","0","554.653","115.061","114.506"
"195870","45720","3","1","313.653","139.061","115.572"
"195818","45721","1","0","766.8","138.305","33.5539"
"195819","45721","3","1","82.8","176.305","35.1356"
"195828","45721","1","1","82.8","176.305","52.7972"
"195829","45721","3","0","569.8","165.305","53.563"
"195844","45721","1","0","569.8","165.305","85.4492"
"195845","45721","2","1","233.8","308.305","86.467"
"195846","45721","3","0","500.551","252.258","86.7829"
"195849","45721","1","0","500.551","252.258","88.6484"
"195850","45721","3","1","219.551","295.258","89.6322"
"195816","45722","1","0","772.648","191.749","31.5864"
"195817","45722","3","1","288.648","189.749","32.4701"
"195840","45722","1","1","288.648","189.749","77.6392"
"195841","45722","3","1","258.648","188.749","80.2185"
"195855","45722","1","1","258.648","188.749","95.6627"
"195856","45722","3","0","729.648","114.749","97.3283"
"195883","45723","1","0","509.717","275.089","75.4036"
"195884","45723","3","0","551.717","305.089","80.6183"
"195881","45725","1","0","567.546","32.3149","67.3735"
"195882","45725","3","1","306.546","96.3149","68.6052"
"195879","45726","1","0","723.032","468.804","57.144"
"195880","45726","3","1","341.032","378.804","58.7436"
"195873","45727","1","0","517.502","213.089","9.02985"
"195874","45727","3","0","795.502","46.089","10.0456"
"195889","45727","1","0","795.502","46.089","105.042"
"195890","45727","3","1","183.502","92.089","107.542"
"195885","45728","1","0","590.262","184.094","95.5786"
"195886","45728","3","0","525.262","189.094","98.294"
"195887","45728","1","0","525.262","189.094","103.527"
"195888","45728","3","1","359.262","218.094","103.909"
"195875","45729","1","0","742.363","154.904","38.9845"
"195876","45729","3","1","188.363","211.904","39.9003"
"195891","45730","1","0","865.461","260.236","110.639"
"195892","45730","3","1","112.462","190.236","111.939"
"195877","45731","1","0","589.659","396.401","41.9158"
"195878","45731","3","1","59.6591","312.401","43.7493"
"195871","45732","1","0","542.191","325.962","7.44623"
"195872","45732","3","0","728.191","286.962","8.14606"
"195899","45733","1","0","721.915","143.916","11.8292"
"195900","45733","3","1","248.915","190.916","12.2451"
"195955","45733","1","1","248.915","190.916","69.0891"
"195956","45733","3","0","776.915","353.916","70.4568"
"195901","45734","1","0","624.923","114.767","13.2608"
"195902","45734","3","1","245.923","379.767","13.9946"
"195953","45734","1","1","245.923","379.767","67.4895"
"195954","45734","3","0","645.923","221.767","68.1234"
"195995","45734","1","0","645.923","221.767","176.981"
"195996","45734","3","0","840.923","247.767","177.749"
"195903","45735","1","0","713.622","47.4826","14.5945"
"195904","45735","3","1","121.622","129.483","15.2103"
"195991","45735","1","1","121.622","129.483","164.802"
"195992","45735","3","1","82.6223","244.483","165.469"
"195909","45736","1","0","846.123","360.927","20.2091"
"195910","45736","3","0","859.123","378.927","23.3083"
"195933","45736","1","0","859.123","378.927","47.8483"
"195934","45736","3","0","812.123","393.927","49.6979"
"195949","45736","1","0","812.123","393.927","64.7242"
"195950","45736","3","0","659.123","126.927","65.574"
"195971","45736","1","0","659.123","126.927","98.294"
"195972","45736","3","1","392.124","136.927","98.6279"
"195993","45736","1","1","392.124","136.927","166.869"
"195994","45736","3","1","361.124","400.927","167.601"
"195895","45737","1","0","533.31","425.599","7.89612"
"195896","45737","3","1","315.31","302.599","8.18005"
"195897","45737","1","1","315.31","302.599","10.0136"
"195898","45737","3","0","523.31","363.599","10.2615"
"195945","45737","1","0","523.31","363.599","61.8249"
"195946","45737","3","0","513.31","113.599","62.2428"
"195965","45737","1","0","513.31","113.599","80.4683"
"195966","45737","3","1","386.31","139.599","81.684"
"195969","45737","1","1","386.31","139.599","97.3462"
"195970","45737","3","0","521.31","206.599","97.6281"
"195985","45737","1","0","521.31","206.599","115.704"
"195986","45737","3","1","191.31","244.599","116.122"
"195905","45738","1","0","659.69","268.395","18.0256"
"195906","45738","3","0","673.69","232.395","18.3096"
"195931","45738","1","0","673.69","232.395","45.131"
"195932","45738","3","0","585.69","242.395","46.3647"
"195947","45738","1","0","585.69","242.395","62.7747"
"195948","45738","3","0","585.69","123.395","64.1083"
"195975","45738","1","0","585.69","123.395","105.142"
"195976","45738","3","0","630.69","159.395","106.324"
"195981","45738","1","0","630.69","159.395","113.406"
"195982","45738","3","1","281.69","282.395","113.872"
"195914","45739","1","0","552.571","240.05","26.1556"
"195915","45739","3","1","149.571","263.05","26.6575"
"195918","45739","1","1","149.571","263.05","34.2197"
"195919","45739","3","0","645.571","193.05","34.5696"
"195925","45739","1","0","645.571","193.05","39.1005"
"195926","45739","3","0","582.571","158.05","39.6683"
"195927","45739","1","0","582.571","158.05","39.9842"
"195928","45739","3","1","114.571","330.05","41.084"
"195957","45739","1","1","114.571","330.05","71.2726"
"195958","45739","3","0","634.571","375.05","72.1544"
"195961","45739","1","0","634.571","375.05","73.754"
"195962","45739","3","1","206.571","312.05","74.1539"
"195967","45739","1","1","206.571","312.05","91.7136"
"195968","45739","3","1","114.571","349.05","92.4134"
"195989","45739","1","1","114.571","349.05","158.871"
"195990","45739","3","1","79.5712","368.05","159.505"
"195907","45740","1","0","820.465","310.937","19.4593"
"195908","45740","3","0","811.465","307.937","19.7432"
"195916","45740","1","0","811.465","307.937","27.8052"
"195917","45740","3","1","94.4647","233.937","28.955"
"195929","45740","1","1","94.4647","233.937","44.3992"
"195930","45740","3","0","578.465","178.937","44.7331"
"195935","45740","1","0","578.465","178.937","51.0135"
"195936","45740","3","1","134.465","291.937","51.4474"
"195937","45740","1","1","134.465","291.937","53.063"
"195938","45740","3","1","117.465","258.937","53.5129"
"195973","45740","1","1","117.465","258.937","104.393"
