"submitted_item_id","submitted_problem_id","item_id","in_knapsack","start_pos_x","start_pos_y","pixel_size"
"61017","5791","101","0","716.758","84.6647","133.8"
"61018","5791","102","0","756.174","400.612","88.7289"
"61019","5791","103","0","584.882","265.262","95.3247"
"61020","5791","104","0","641.868","456.353","61.2465"
"61021","5791","105","0","797.518","267.839","65.6437"
"61022","5791","106","0","534.623","377.917","62.3458"
"61023","5791","107","0","836.13","370.284","101.92"
"61024","5791","108","0","794.535","439.815","55.75"
"61025","5791","109","0","627.736","309.112","108.516"
"61026","5791","110","0","542.656","10.658","88.7289"
"61027","5792","101","1","530.155","36.7595","133.8"
"61028","5792","102","0","734.498","198.296","88.7289"
"61029","5792","103","1","757.821","118.488","95.3247"
"61030","5792","104","0","712.69","301.412","61.2465"
"61031","5792","105","0","871.389","72.3431","65.6437"
"61032","5792","106","0","583.54","131.71","62.3458"
"61033","5792","107","1","611.202","87.0032","101.92"
"61034","5792","108","0","650.098","312.717","55.75"
"61035","5792","109","1","627.077","115.71","108.516"
"61036","5792","110","0","844.184","359.19","88.7289"
"61037","5793","101","0","762.184","71.8743","133.8"
"61038","5793","102","0","714.713","129.063","88.7289"
"61039","5793","103","1","548.026","394.582","95.3247"
"61040","5793","104","0","521.985","189.227","61.2465"
"61041","5793","105","0","641.686","379.598","65.6437"
"61042","5793","106","0","752.671","356.731","62.3458"
"61043","5793","107","1","658.006","249.326","101.92"
"61044","5793","108","0","665.06","264.133","55.75"
"61045","5793","109","1","508.103","275.183","108.516"
"61046","5793","110","1","722.063","430.862","88.7289"
"61047","5794","101","0","569.389","400.004","133.8"
"61048","5794","102","0","666.874","232.133","88.7289"
"61049","5794","103","1","565.87","216.159","95.3247"
"61050","5794","104","1","626.154","89.4521","61.2465"
"61051","5794","105","0","761.91","12.9645","65.6437"
"61052","5794","106","0","691.066","473.244","62.3458"
"61053","5794","107","1","759.697","380.666","101.92"
"61054","5794","108","1","834.225","254.82","55.75"
