account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate
choice-moving,Surfer10@bmm,4848,320,6388,6388,630,NULL,1059545,1059545,1059545,1059569,LIMIT,BUY,1,70,2018-08-17T04:17:31.285,2018-08-17T04:18:33.145
choice-moving,Surfer10@bmm,4848,320,6388,6388,630,NULL,1059546,1059546,1059546,1059571,LIMIT,BUY,1,70,2018-08-17T04:17:32.480,2018-08-17T04:18:36.340
choice-moving,Surfer18@bmm,4856,320,6388,6388,633,NULL,1059547,1059547,1059547,1059618,LIMIT,SELL,1,60,2018-08-17T04:17:32.751,2018-08-17T04:19:11.050
choice-moving,Surfer10@bmm,4848,320,6388,6388,631,NULL,1059548,1059548,1059548,1059749,LIMIT,BUY,1,60,2018-08-17T04:17:39.290,2018-08-17T04:22:27.207
choice-moving,Surfer15@bmm,4853,320,6388,6388,630,NULL,1059549,1059549,1059549,1059577,LIMIT,BUY,1,50,2018-08-17T04:17:46.170,2018-08-17T04:18:42.144
choice-moving,Surfer18@bmm,4856,320,6388,6388,630,NULL,1059550,1059550,1059550,1059556,LIMIT,BUY,1,80,2018-08-17T04:17:47.018,2018-08-17T04:18:14.913
choice-moving,Surfer15@bmm,4853,320,6388,6388,631,NULL,1059551,1059551,1059551,1059691,LIMIT,BUY,1,61,2018-08-17T04:18:02.399,2018-08-17T04:20:51.963
choice-moving,Surfer6@bmm,4844,320,6388,6388,633,NULL,1059553,1059553,1059553,1059805,LIMIT,SELL,1,50,2018-08-17T04:18:08.886,2018-08-17T04:23:48.594
choice-moving,Surfer7@bmm,4845,320,6388,6388,632,NULL,1059554,1059554,1059554,1059558,LIMIT,SELL,1,50,2018-08-17T04:18:12.038,2018-08-17T04:18:16.766
choice-moving,Surfer19@bmm,4857,320,6388,6388,630,NULL,1059555,1059555,1059555,0,LIMIT,SELL,1,50,2018-08-17T04:18:14.901,2018-08-17T04:18:14.912
choice-moving,Surfer19@bmm,4857,320,6388,6388,630,NULL,1059556,1059555,1059555,1059550,LIMIT,SELL,1,80,2018-08-17T04:18:14.908,2018-08-17T04:18:14.913
choice-moving,Surfer10@bmm,4848,320,6388,6388,633,NULL,1059557,1059557,1059557,1059696,LIMIT,SELL,1,20,2018-08-17T04:18:16.689,2018-08-17T04:20:56.578
choice-moving,Surfer11@bmm,4849,320,6388,6388,632,NULL,1059558,1059558,1059558,1059554,LIMIT,BUY,1,50,2018-08-17T04:18:16.759,2018-08-17T04:18:16.765
choice-moving,Surfer3@bmm,4841,320,6388,6388,630,NULL,1059559,1059559,1059559,1059576,LIMIT,SELL,1,87,2018-08-17T04:18:22.323,2018-08-17T04:18:40.078
choice-moving,Surfer17@bmm,4855,320,6388,6388,630,NULL,1059560,1059560,1059560,NULL,LIMIT,BUY,1,66,2018-08-17T04:18:23.156,2018-08-17T04:18:23.158
choice-moving,Surfer3@bmm,4841,320,6388,6388,630,NULL,1059561,1059561,1059561,1059584,LIMIT,SELL,1,92,2018-08-17T04:18:25.872,2018-08-17T04:18:45.354
choice-moving,Surfer3@bmm,4841,320,6388,6388,630,NULL,1059562,1059562,1059562,1059597,LIMIT,SELL,1,99,2018-08-17T04:18:28.022,2018-08-17T04:18:50.859
