account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate
choice-moving,Surfer3@bmm,4841,322,6642,6642,638,NULL,1310035,1310035,1310035,1310068,LIMIT,BUY,1,100,2018-08-29T00:02:25.066,2018-08-29T00:03:45.858
choice-moving,Surfer11@bmm,4849,322,6642,6642,640,NULL,1310036,1310036,1310036,1310043,LIMIT,SELL,1,100,2018-08-29T00:02:30.933,2018-08-29T00:02:54.254
choice-moving,Surfer2@bmm,4840,322,6642,6642,638,NULL,1310037,1310037,1310037,1310185,LIMIT,BUY,1,91,2018-08-29T00:02:34.552,2018-08-29T00:09:11.242
choice-moving,Surfer7@bmm,4845,322,6642,6642,639,NULL,1310038,1310038,1310038,NULL,LIMIT,BUY,1,57,2018-08-29T00:02:34.619,2018-08-29T00:02:34.622
choice-moving,Surfer7@bmm,4845,322,6642,6642,639,NULL,1310039,1310039,1310039,NULL,LIMIT,BUY,1,57,2018-08-29T00:02:35.828,2018-08-29T00:02:35.832
choice-moving,Surfer2@bmm,4840,322,6642,6642,639,NULL,1310040,1310040,1310040,1310195,LIMIT,BUY,1,85,2018-08-29T00:02:46.616,2018-08-29T00:09:57.462
choice-moving,Surfer7@bmm,4845,322,6642,6642,640,NULL,1310041,1310041,1310041,1310060,LIMIT,BUY,1,77,2018-08-29T00:02:50.271,2018-08-29T00:03:32.037
choice-moving,Surfer10@bmm,4848,322,6642,6642,641,NULL,1310042,1310042,1310042,1310106,LIMIT,SELL,1,9,2018-08-29T00:02:51.642,2018-08-29T00:04:44.490
choice-moving,Surfer11@bmm,4849,322,6642,6642,640,NULL,1310043,1310036,1310036,1310036,CANCEL,SELL,1,100,2018-08-29T00:02:54.247,2018-08-29T00:02:54.253
choice-moving,Surfer7@bmm,4845,322,6642,6642,640,NULL,1310044,1310044,1310044,1310061,LIMIT,BUY,1,77,2018-08-29T00:02:55.611,2018-08-29T00:03:36.353
choice-moving,Surfer6@bmm,4844,322,6642,6642,641,NULL,1310045,1310045,1310045,NULL,LIMIT,SELL,1,10,2018-08-29T00:02:55.659,2018-08-29T00:02:55.662
choice-moving,Surfer10@bmm,4848,322,6642,6642,641,NULL,1310046,1310046,1310046,1310183,LIMIT,SELL,1,8,2018-08-29T00:03:00.190,2018-08-29T00:08:37.824
choice-moving,Surfer12@bmm,4850,322,6642,6642,641,NULL,1310047,1310047,1310047,NULL,LIMIT,SELL,1,4,2018-08-29T00:03:01.087,2018-08-29T00:03:01.090
choice-moving,Surfer10@bmm,4848,322,6642,6642,641,NULL,1310048,1310048,1310048,1310051,LIMIT,SELL,1,3,2018-08-29T00:03:03.992,2018-08-29T00:03:04.158
choice-moving,Surfer2@bmm,4840,322,6642,6642,640,NULL,1310049,1310049,1310049,1310058,LIMIT,BUY,1,80,2018-08-29T00:03:04.104,2018-08-29T00:03:25.838
choice-moving,Surfer6@bmm,4844,322,6642,6642,641,NULL,1310050,1310050,1310050,0,LIMIT,BUY,1,88,2018-08-29T00:03:04.124,2018-08-29T00:03:04.158
choice-moving,Surfer6@bmm,4844,322,6642,6642,641,NULL,1310051,1310050,1310050,1310048,LIMIT,BUY,1,3,2018-08-29T00:03:04.153,2018-08-29T00:03:04.158
choice-moving,Surfer10@bmm,4848,322,6642,6642,641,NULL,1310052,1310052,1310052,1310165,LIMIT,SELL,1,3,2018-08-29T00:03:07.095,2018-08-29T00:06:46.743
choice-moving,Surfer5@bmm,4843,322,6642,6642,638,NULL,1310053,1310053,1310053,1310069,LIMIT,BUY,1,99,2018-08-29T00:03:16.101,2018-08-29T00:03:45.858
choice-moving,Surfer4@bmm,4842,322,6642,6642,639,NULL,1310054,1310054,1310054,NULL,LIMIT,BUY,1,99,2018-08-29T00:03:17.845,2018-08-29T00:03:17.848
choice-moving,Surfer5@bmm,4843,322,6642,6642,639,NULL,1310055,1310055,1310055,NULL,LIMIT,BUY,1,99,2018-08-29T00:03:23.039,2018-08-29T00:03:23.043
choice-moving,Surfer4@bmm,4842,322,6642,6642,638,NULL,1310056,1310056,1310056,1310070,LIMIT,BUY,1,99,2018-08-29T00:03:23.091,2018-08-29T00:03:45.859
choice-moving,Surfer13@bmm,4851,322,6642,6642,640,NULL,1310057,1310057,1310057,0,LIMIT,SELL,1,78,2018-08-29T00:03:25.824,2018-08-29T00:03:25.838
choice-moving,Surfer13@bmm,4851,322,6642,6642,640,NULL,1310058,1310057,1310057,1310049,LIMIT,SELL,1,80,2018-08-29T00:03:25.833,2018-08-29T00:03:25.838
choice-moving,Surfer11@bmm,4849,322,6642,6642,640,NULL,1310059,1310059,1310059,1310139,LIMIT,SELL,1,80,2018-08-29T00:03:31.151,2018-08-29T00:05:34.655
choice-moving,Surfer13@bmm,4851,322,6642,6642,640,NULL,1310060,1310060,1310060,1310041,LIMIT,SELL,1,77,2018-08-29T00:03:32.028,2018-08-29T00:03:32.037
choice-moving,Surfer11@bmm,4849,322,6642,6642,640,NULL,1310061,1310061,1310061,1310044,LIMIT,SELL,1,77,2018-08-29T00:03:36.346,2018-08-29T00:03:36.353
choice-moving,Surfer13@bmm,4851,322,6642,6642,640,NULL,1310062,1310062,1310062,1310132,LIMIT,SELL,1,77,2018-08-29T00:03:37.829,2018-08-29T00:05:23.874
choice-moving,Surfer6@bmm,4844,322,6642,6642,639,NULL,1310063,1310063,1310063,NULL,LIMIT,BUY,1,99,2018-08-29T00:03:40.448,2018-08-29T00:03:40.451
choice-moving,Surfer4@bmm,4842,322,6642,6642,641,NULL,1310064,1310064,1310064,1310157,LIMIT,SELL,1,80,2018-08-29T00:03:43.675,2018-08-29T00:06:11.040
