account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate
choice-moving,Surfer4@bmm,4842,324,6644,6644,646,NULL,1310351,1310351,1310351,NULL,LIMIT,BUY,1,99,2018-08-29T00:20:56.807,2018-08-29T00:20:56.810
choice-moving,Surfer5@bmm,4843,324,6644,6644,646,NULL,1310352,1310352,1310352,NULL,LIMIT,BUY,1,99,2018-08-29T00:20:59.925,2018-08-29T00:20:59.928
choice-moving,Surfer13@bmm,4851,324,6644,6644,646,NULL,1310353,1310353,1310353,NULL,LIMIT,BUY,1,99,2018-08-29T00:21:05.358,2018-08-29T00:21:05.361
choice-moving,Surfer10@bmm,4848,324,6644,6644,648,NULL,1310354,1310354,1310354,1310520,LIMIT,BUY,1,82,2018-08-29T00:21:05.483,2018-08-29T00:28:00.209
choice-moving,Surfer10@bmm,4848,324,6644,6644,648,NULL,1310355,1310355,1310355,1310518,LIMIT,BUY,1,82,2018-08-29T00:21:06.598,2018-08-29T00:27:59.874
choice-moving,Surfer6@bmm,4844,324,6644,6644,648,NULL,1310356,1310356,1310356,NULL,LIMIT,BUY,1,4,2018-08-29T00:21:08.734,2018-08-29T00:21:08.737
choice-moving,Surfer10@bmm,4848,324,6644,6644,648,NULL,1310357,1310357,1310357,1310489,LIMIT,BUY,1,65,2018-08-29T00:21:08.764,2018-08-29T00:23:55.719
choice-moving,Surfer10@bmm,4848,324,6644,6644,648,NULL,1310358,1310358,1310358,1310490,LIMIT,BUY,1,37,2018-08-29T00:21:10.862,2018-08-29T00:23:58.357
choice-moving,Surfer6@bmm,4844,324,6644,6644,648,NULL,1310359,1310359,1310359,1310495,LIMIT,BUY,1,86,2018-08-29T00:21:11.233,2018-08-29T00:24:28.387
choice-moving,Surfer7@bmm,4845,324,6644,6644,648,NULL,1310360,1310360,1310360,1310455,LIMIT,BUY,1,80,2018-08-29T00:21:13.829,2018-08-29T00:23:06.583
choice-moving,Surfer12@bmm,4850,324,6644,6644,646,NULL,1310361,1310361,1310361,NULL,LIMIT,BUY,1,98,2018-08-29T00:21:13.944,2018-08-29T00:21:13.947
choice-moving,Surfer6@bmm,4844,324,6644,6644,648,NULL,1310362,1310362,1310362,NULL,LIMIT,BUY,1,98,2018-08-29T00:21:15.416,2018-08-29T00:21:15.419
choice-moving,Surfer7@bmm,4845,324,6644,6644,648,NULL,1310363,1310363,1310363,1310454,LIMIT,BUY,1,88,2018-08-29T00:21:18.330,2018-08-29T00:23:04.990
choice-moving,Surfer11@bmm,4849,324,6644,6644,648,NULL,1310364,1310364,1310364,1310535,LIMIT,BUY,1,99,2018-08-29T00:21:20.394,2018-08-29T00:28:44.731
choice-moving,Surfer9@bmm,4847,324,6644,6644,646,NULL,1310365,1310365,1310365,NULL,LIMIT,BUY,1,99,2018-08-29T00:21:21.047,2018-08-29T00:21:21.050
choice-moving,Surfer2@bmm,4840,324,6644,6644,649,NULL,1310366,1310366,1310366,1310376,LIMIT,SELL,1,35,2018-08-29T00:21:22.352,2018-08-29T00:21:32.261
choice-moving,Surfer3@bmm,4841,324,6644,6644,647,NULL,1310367,1310367,1310367,1310456,LIMIT,BUY,1,91,2018-08-29T00:21:22.528,2018-08-29T00:23:06.690
choice-moving,Surfer8@bmm,4846,324,6644,6644,649,NULL,1310368,1310368,1310368,1310378,LIMIT,SELL,1,70,2018-08-29T00:21:22.884,2018-08-29T00:21:32.514
choice-moving,Surfer11@bmm,4849,324,6644,6644,646,NULL,1310369,1310369,1310369,1310533,LIMIT,BUY,1,99,2018-08-29T00:21:25.280,2018-08-29T00:28:42.993
choice-moving,Surfer8@bmm,4846,324,6644,6644,649,NULL,1310370,1310370,1310370,1310372,LIMIT,SELL,1,24,2018-08-29T00:21:28.788,2018-08-29T00:21:29.396
choice-moving,Surfer10@bmm,4848,324,6644,6644,649,NULL,1310371,1310371,1310371,0,LIMIT,BUY,1,35,2018-08-29T00:21:29.382,2018-08-29T00:21:29.395
choice-moving,Surfer10@bmm,4848,324,6644,6644,649,NULL,1310372,1310371,1310371,1310370,LIMIT,BUY,1,24,2018-08-29T00:21:29.391,2018-08-29T00:21:29.396
choice-moving,Surfer9@bmm,4847,324,6644,6644,647,NULL,1310373,1310373,1310373,1310445,LIMIT,BUY,1,99,2018-08-29T00:21:29.920,2018-08-29T00:22:53.909
choice-moving,Surfer1@bmm,4839,324,6644,6644,646,NULL,1310374,1310374,1310374,1310484,LIMIT,BUY,3,99,2018-08-29T00:21:29.930,2018-08-29T00:23:34.834
choice-moving,Surfer7@bmm,4845,324,6644,6644,649,NULL,1310375,1310375,1310375,0,LIMIT,BUY,1,79,2018-08-29T00:21:32.248,2018-08-29T00:21:32.261
choice-moving,Surfer7@bmm,4845,324,6644,6644,649,NULL,1310376,1310375,1310375,1310366,LIMIT,BUY,1,35,2018-08-29T00:21:32.256,2018-08-29T00:21:32.261
choice-moving,Surfer7@bmm,4845,324,6644,6644,649,NULL,1310377,1310377,1310377,0,LIMIT,BUY,1,79,2018-08-29T00:21:32.503,2018-08-29T00:21:32.514
choice-moving,Surfer7@bmm,4845,324,6644,6644,649,NULL,1310378,1310377,1310377,1310368,LIMIT,BUY,1,70,2018-08-29T00:21:32.510,2018-08-29T00:21:32.515
choice-moving,Surfer9@bmm,4847,324,6644,6644,647,NULL,1310379,1310379,1310379,1310446,LIMIT,BUY,1,99,2018-08-29T00:21:33.118,2018-08-29T00:22:54.226
choice-moving,Surfer4@bmm,4842,324,6644,6644,649,NULL,1310380,1310380,1310380,1310391,LIMIT,SELL,1,72,2018-08-29T00:21:33.446,2018-08-29T00:21:39.129
choice-moving,Surfer12@bmm,4850,324,6644,6644,649,NULL,1310381,1310381,1310381,1310384,LIMIT,SELL,1,25,2018-08-29T00:21:33.783,2018-08-29T00:21:34.769
choice-moving,Surfer9@bmm,4847,324,6644,6644,647,NULL,1310382,1310382,1310382,1310447,LIMIT,BUY,1,99,2018-08-29T00:21:34.711,2018-08-29T00:22:54.859
choice-moving,Surfer10@bmm,4848,324,6644,6644,649,NULL,1310383,1310383,1310383,0,LIMIT,BUY,1,35,2018-08-29T00:21:34.756,2018-08-29T00:21:34.768
